name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
Starlink 4-16 (v1.5),2022-04-29 21:27:00+00:00,True,62582aa55988f159024b964d,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-16 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-17 (v1.5),2022-05-06 09:42:00+00:00,True,62582aad5988f159024b964e,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-17 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-13 (v1.5),2022-05-13 22:07:00+00:00,True,625829d75988f159024b9649,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 4-13 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-15 (v1.5),2022-05-14 20:40:00+00:00,True,625829cf5988f159024b9648,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-15 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-18 (v1.5),2022-05-18 10:40:00+00:00,True,62615ee40ec008379be596fd,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-18 (v1.5),13260.0,Satellite,VLEO,SpaceX
Transporter-5,2022-05-25 18:27:00+00:00,True,6243b39daf52800c6e919267,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Transporter-5,4701.5,Satellite,SSO,
Nilesat-301,2022-06-08 21:04:00+00:00,True,6243b286af52800c6e919266,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Nilesat-301,3938.0,Satellite,GEO,Nilesat
Starlink 4-19 (v1.5),2022-06-01 17:08:50+00:00,True,6278484e57b51b752c5c5a63,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-19 (v1.5),13260.0,Satellite,VLEO,SpaceX
SARah 1,2022-06-18 14:19:00+00:00,True,5fe3b2abb3467846b3242172,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,SARah 1,2200.0,Satellite,SSO,"OHB-System, AG, Bundeswehr"
Globalstar FM15,2022-06-19 04:27:00+00:00,True,62adecbcd26f4f711fa53848,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Globalstar FM15,700.0,Satellite,LEO,Globalstar
